"player_id","full_name","team","positions","current_price","breakeven","current_season_average","average_3_round","average_5_round","total_points","games_played","ownership_percentage","played_status","status","injury_detail","expected_return","role_tag","goal_kicking_status","starting_status","locked_flag","active_flag"
541,"Hinchey, Angus","MEL","2RF",201400,NA,1.8,NA,NA,9,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
372,"Hosking, Blake","SHA","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
223,"Hunter, Matthew","NEW","5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
376,"Jones, Riley","SHA","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
254,"Kerrisk, Xavier","NQC","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
256,"Kira, Mason","NQC","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
190,"Laiafi, Simione","MNL","FRF",201400,NA,2.6,NA,NA,13,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
46,"Latu, Finau","BUL","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
317,"Latu, William","PAR","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
295,"Linnane, Jye","NZL","5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
145,"Liu, Jett","GCT","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
227,"Manuleleua, Francis","NEW","2RF",201400,NA,1.8,NA,NA,9,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
77,"Martin, Myles","CBR","FRF/2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
440,"McCarthy, Max","STH","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
297,"Mellars, Haizyn","NZL","CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
191,"Muagututia, Zaidas","MNL","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
118,"Nonu, LJ","DOL","CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
50,"O'Neill, Joseph","STG",NA,201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
80,"Packer, Shaun","CBR","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
147,"Pascoe, Oliver","GCT","HOK",201400,NA,10,NA,NA,50,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
301,"Pasikala, Motu","NZL","FLB/CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
83,"Patuki-Case, Vena","CBR","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
269,"Philitoga, Ronald","NQC","CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
383,"Pollard, Riley","SHA","HFB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
521,"Pouniu, Brian","DOL","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
195,"Pua'avase, D'Jazirhae","MNL",NA,201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
385,"Puru, Niwhai","SHA","HFB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
444,"Radel, John","STH","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
469,"Ramsey, Cody","SYD","CTW/FLB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
120,"Rasmussen, Elijah","DOL","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
412,"Reed, Kade","STG","5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
512,"Roberts, Ethan","WST","FRF/2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
471,"Rodwell, Toby","SYD","HFB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
513,"Saukuru, Solomone","WST","CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
355,"Scott, Billy","PTH","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
22,"Semu, VJ","BRO","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
445,"Siegwalt, Latrell","STH","HFB/FLB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
55,"Spinks, Logan","BUL","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
415,"Stanley-Traill, Cyrus","STG","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
239,"Sullivan, Wil","NEW","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
271,"Sutton, Liam","NQC","HFB/5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
546,"Symonds, Lewis","DOL","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
